,P: 0.6,P: 0.7,P: 0.8
0,7.679621214253473,8.141728535580699,8.172319763405465
1,7.782911467497737,7.957002238104917,8.00616754764758
2,7.747510479178173,8.033593553903838,7.97608016671179
3,7.952368862551203,8.265187095416927,8.297070073995524
4,7.895063498091572,8.153608717271801,8.035019810223408
5,8.12058871174027,8.159860888607355,8.097745784987529
6,7.97674993034462,8.083143406452296,7.851116282378955
7,8.050575822314567,8.200864700374334,8.088101152676916
8,7.637571843899093,8.069530142607887,8.359298846143247
9,7.924651238030257,8.20520476509991,7.959991986028704
10,7.812418674615312,8.36723039681005,8.161931534031703
11,7.996738018674403,8.301472025917665,7.93539058626126
12,7.8434564043761155,8.366556330888775,8.334399523195218
13,7.940566027017022,7.879329334479523,8.093523378653225
14,7.7565163540626925,8.111703082995568,8.251989900724883
15,7.726389079583498,8.287113138100729,8.232240723535323
16,7.768575583330217,8.247259349851003,8.253240666330335
17,7.7732788938026385,8.102313908697456,8.303851445074288
18,7.9721038814462535,8.096436764739114,8.019267340000924
19,7.819776911204085,8.33050210210434,8.105609402299896
20,7.779968723615364,7.926367914605402,8.043567008639352
21,7.90389177606101,8.244255221838213,7.9875414634001976
22,8.082185980927084,8.220483828644939,8.123676416823914
23,7.9518937822624975,7.9818528559012485,7.960602822282502
24,7.794699586061061,8.311557970844834,8.081243102295353
25,8.053219346427479,8.320959305408884,8.413608875159667
26,8.016400403350621,8.320861955753182,8.250463411939105
27,7.617489136896473,8.205245748426533,8.106831112695366
28,7.682113714966905,8.154643884284905,8.028862645477618
29,7.857442101474721,8.148517959754924,8.211930820465366
