,P: 1,P: 0.7,P: 0.9
0,5.322766046950346,2.060513531794317,3.6336309798834576
1,5.312713246831769,2.145931282948669,3.6622787723167574
2,5.321545492667243,1.840549633397487,3.2503744919275714
3,5.231643233280044,1.8870696490323797,3.232778730037192
4,5.143124477142335,1.7316555451583495,3.0469005601283903
5,4.999237249143887,2.186051276738094,3.499533282383017
6,5.184308449936169,2.028148247292285,3.988984046564274
7,5.27556037942542,2.008214032391468,3.3568971227655755
8,5.182064409723787,2.157559320943788,3.993602992420569
9,5.311973692995522,1.9810014688665833,3.3141860046725253
10,5.1047326174753715,1.536867219599265,2.9338568698359033
11,5.227626625925267,1.3083328196501787,3.7436043538031827
12,5.017279836814924,2.060513531794317,3.685122405236224
13,5.095588999976419,1.6956156086751526,3.6136169696133895
14,4.925803358579558,1.7833912195575383,3.4111477125153233
15,5.306533521319377,2.169053700369523,3.7819143200811256
16,4.788324729085938,1.8870696490323797,3.6323091026255416
17,5.221706264176196,1.8946168546677629,3.351656936102019
18,5.296816240421769,1.749199854809259,3.9541241814467813
19,5.083575918497971,1.8484548129046001,3.7013019741124933
20,5.061328408411773,1.9878743481543453,3.3775875160230218
21,4.9856593080260785,1.7316555451583495,3.2308043957334744
22,4.829912458665998,2.388762789235098,3.412796517505507
23,5.063543949751658,2.0412203288596382,3.5876769486047735
24,4.995860008514101,1.8484548129046001,3.5100517865742376
25,5.178407069875479,1.9810014688665833,3.675034047291883
26,5.017941869278694,2.0347056478384444,3.520460802488973
27,5.283711214158674,1.7404661748405044,3.438814245233462
28,4.821490511954176,1.5686159179138452,3.6584202466292277
29,5.049214776063731,1.749199854809259,3.6826098411003407
