,P: 1,P: 0.7,P: 0.9
0,5.169631358919991,1.766441661243765,3.317815772723104
1,5.085742766583061,1.5789787049493917,3.6014134283326604
2,5.010301905195018,1.9169226121820608,3.720862499966987
3,5.2699178920263385,1.6486586255873816,3.696351468952637
4,5.123963979403259,1.8946168546677629,3.293983297355006
5,4.98257869631373,1.7227665977411033,3.856510295497887
6,4.845760650906022,1.9600947840472696,3.417726683613366
7,5.1535805700813535,1.749199854809259,3.56953269648137
8,5.05145728861651,1.8082887711792655,3.7864597824528
9,4.930870325627393,1.7749523509116738,3.6635616461296463
10,5.028802598051705,1.5686159179138452,3.330417199601108
11,5.076735095800779,1.8794650496471603,3.5553480614894135
12,5.163928463509385,1.9387416595767006,3.198673117550681
13,5.373192901193144,2.0668627594729756,3.7750571503549883
14,5.064176061024285,1.8946168546677629,3.6122683517420957
15,5.10564239767459,1.599387576580599,3.7459684210980635
16,5.1535805700813535,1.8484548129046001,3.595941458454667
17,5.21275947818639,2.0149030205422647,3.4372078191851885
18,5.015622835607295,1.667706820558076,3.747148362237912
19,5.234045476527896,1.8946168546677629,3.4766140209469096
20,5.069847153728102,1.8718021769015913,3.648057459593681
21,5.206202077640231,1.6389967146756448,3.407841924380824
22,5.148946909893768,1.5789787049493917,3.1548704948922883
23,5.1149953094204985,1.9810014688665833,3.2827891506118534
24,5.250439286303573,1.713797927758343,3.873282177111715
25,5.158480421360237,2.1041341542702074,3.4404180948154366
26,5.19267903452504,1.9600947840472696,3.548179572010801
27,5.157617484444901,1.840549633397487,3.3357695763397
28,5.117694366389664,1.9242486522741338,3.214867803470662
29,5.057200763243577,1.7404661748405044,3.7232808808312683
